,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.611,0.483,11,-6.216,0,0.055,0.214,0.0,0.124,0.204,145.983,audio_features,39MK3d3fonIP8Mz9oHCTBB,spotify:track:39MK3d3fonIP8Mz9oHCTBB,https://api.spotify.com/v1/tracks/39MK3d3fonIP8Mz9oHCTBB,https://api.spotify.com/v1/audio-analysis/39MK3d3fonIP8Mz9oHCTBB,231747,4
1,0.9,0.597,11,-6.008,1,0.232,0.0299,0.0,0.0933,0.548,133.954,audio_features,1k513qenEUjyU3MxMSUaPj,spotify:track:1k513qenEUjyU3MxMSUaPj,https://api.spotify.com/v1/tracks/1k513qenEUjyU3MxMSUaPj,https://api.spotify.com/v1/audio-analysis/1k513qenEUjyU3MxMSUaPj,164776,4
2,0.829,0.436,3,-8.205,1,0.327,0.15,0.0,0.0954,0.693,143.031,audio_features,6HgWWaMu31KdOpEG5l28BG,spotify:track:6HgWWaMu31KdOpEG5l28BG,https://api.spotify.com/v1/tracks/6HgWWaMu31KdOpEG5l28BG,https://api.spotify.com/v1/audio-analysis/6HgWWaMu31KdOpEG5l28BG,223204,4
3,0.939,0.521,1,-7.468,1,0.379,0.195,0.0,0.201,0.515,124.995,audio_features,4EzkcqltSOxYE2lstuLOFs,spotify:track:4EzkcqltSOxYE2lstuLOFs,https://api.spotify.com/v1/tracks/4EzkcqltSOxYE2lstuLOFs,https://api.spotify.com/v1/audio-analysis/4EzkcqltSOxYE2lstuLOFs,133000,4
4,0.803,0.649,9,-4.294,0,0.213,0.111,0.0,0.111,0.135,85.037,audio_features,6GoVUO5vla1JtUj2rq9Yl4,spotify:track:6GoVUO5vla1JtUj2rq9Yl4,https://api.spotify.com/v1/tracks/6GoVUO5vla1JtUj2rq9Yl4,https://api.spotify.com/v1/audio-analysis/6GoVUO5vla1JtUj2rq9Yl4,226360,4
5,0.817,0.44,10,-8.482,0,0.0734,0.0603,1.42e-06,0.33,0.544,142.024,audio_features,7aRCf5cLOFN1U7kvtChY1G,spotify:track:7aRCf5cLOFN1U7kvtChY1G,https://api.spotify.com/v1/tracks/7aRCf5cLOFN1U7kvtChY1G,https://api.spotify.com/v1/audio-analysis/7aRCf5cLOFN1U7kvtChY1G,272113,4
6,0.732,0.6,6,-9.057,0,0.241,0.00385,0.000114,0.112,0.436,167.973,audio_features,4muwDurKeVOB1WBjTVRWlD,spotify:track:4muwDurKeVOB1WBjTVRWlD,https://api.spotify.com/v1/tracks/4muwDurKeVOB1WBjTVRWlD,https://api.spotify.com/v1/audio-analysis/4muwDurKeVOB1WBjTVRWlD,160203,4
7,0.631,0.535,0,-7.836,1,0.0842,0.464,0.0,0.115,0.22,140.127,audio_features,5rurggqwwudn9clMdcchxT,spotify:track:5rurggqwwudn9clMdcchxT,https://api.spotify.com/v1/tracks/5rurggqwwudn9clMdcchxT,https://api.spotify.com/v1/audio-analysis/5rurggqwwudn9clMdcchxT,219453,4
8,0.911,0.536,4,-7.884,0,0.282,0.00897,3.73e-06,0.111,0.584,146.014,audio_features,1KUZ33cOqk3X4Ezk0aZnVp,spotify:track:1KUZ33cOqk3X4Ezk0aZnVp,https://api.spotify.com/v1/tracks/1KUZ33cOqk3X4Ezk0aZnVp,https://api.spotify.com/v1/audio-analysis/1KUZ33cOqk3X4Ezk0aZnVp,203813,4
9,0.849,0.581,6,-5.464,0,0.261,0.0178,0.0,0.092,0.274,142.015,audio_features,1IzJxbARcQrOWMZgPw1PNj,spotify:track:1IzJxbARcQrOWMZgPw1PNj,https://api.spotify.com/v1/tracks/1IzJxbARcQrOWMZgPw1PNj,https://api.spotify.com/v1/audio-analysis/1IzJxbARcQrOWMZgPw1PNj,217610,4
10,0.843,0.669,1,-4.105,0,0.0639,0.0846,1.28e-05,0.105,0.435,136.979,audio_features,52NGJPcLUzQq5w7uv4e5gf,spotify:track:52NGJPcLUzQq5w7uv4e5gf,https://api.spotify.com/v1/tracks/52NGJPcLUzQq5w7uv4e5gf,https://api.spotify.com/v1/audio-analysis/52NGJPcLUzQq5w7uv4e5gf,238253,4
11,0.571,0.549,1,-7.38,0,0.404,0.18,0.0,0.168,0.447,119.497,audio_features,5wG3HvLhF6Y5KTGlK0IW3J,spotify:track:5wG3HvLhF6Y5KTGlK0IW3J,https://api.spotify.com/v1/tracks/5wG3HvLhF6Y5KTGlK0IW3J,https://api.spotify.com/v1/audio-analysis/5wG3HvLhF6Y5KTGlK0IW3J,194787,4
12,0.861,0.68,11,-7.891,1,0.3,0.02,0.0,0.112,0.669,155.036,audio_features,75ZoVrZ4mXEsDxv1bQbEAS,spotify:track:75ZoVrZ4mXEsDxv1bQbEAS,https://api.spotify.com/v1/tracks/75ZoVrZ4mXEsDxv1bQbEAS,https://api.spotify.com/v1/audio-analysis/75ZoVrZ4mXEsDxv1bQbEAS,143148,4
13,0.786,0.719,0,-7.487,0,0.296,0.252,0.0,0.301,0.802,130.081,audio_features,4mWbFYZ9P14Ulf1LIFZGhH,spotify:track:4mWbFYZ9P14Ulf1LIFZGhH,https://api.spotify.com/v1/tracks/4mWbFYZ9P14Ulf1LIFZGhH,https://api.spotify.com/v1/audio-analysis/4mWbFYZ9P14Ulf1LIFZGhH,178950,4
14,0.783,0.609,6,-7.222,0,0.159,0.0576,8.54e-06,0.166,0.612,77.556,audio_features,2YIIpDEKJv6OUc7u9tVT7I,spotify:track:2YIIpDEKJv6OUc7u9tVT7I,https://api.spotify.com/v1/tracks/2YIIpDEKJv6OUc7u9tVT7I,https://api.spotify.com/v1/audio-analysis/2YIIpDEKJv6OUc7u9tVT7I,203164,4
15,0.695,0.673,4,-7.261,0,0.245,0.0313,0.0,0.322,0.273,80.063,audio_features,4fbXBeVeqzZ0SmJQcWm4St,spotify:track:4fbXBeVeqzZ0SmJQcWm4St,https://api.spotify.com/v1/tracks/4fbXBeVeqzZ0SmJQcWm4St,https://api.spotify.com/v1/audio-analysis/4fbXBeVeqzZ0SmJQcWm4St,192000,4
16,0.686,0.897,11,-7.18,0,0.0386,0.0103,0.103,0.153,0.355,129.975,audio_features,0FA4wrjDJvJTTU8AepZTup,spotify:track:0FA4wrjDJvJTTU8AepZTup,https://api.spotify.com/v1/tracks/0FA4wrjDJvJTTU8AepZTup,https://api.spotify.com/v1/audio-analysis/0FA4wrjDJvJTTU8AepZTup,163139,4
17,0.773,0.701,7,-6.386,1,0.0512,0.01,0.0,0.163,0.203,129.963,audio_features,2ZL7WZcjuYKi1KUDtp4kCC,spotify:track:2ZL7WZcjuYKi1KUDtp4kCC,https://api.spotify.com/v1/tracks/2ZL7WZcjuYKi1KUDtp4kCC,https://api.spotify.com/v1/audio-analysis/2ZL7WZcjuYKi1KUDtp4kCC,214589,4
18,0.92,0.682,1,-4.82,1,0.368,0.339,2.08e-06,0.112,0.697,140.071,audio_features,2VjOTvl50tscmc0RDjPdr2,spotify:track:2VjOTvl50tscmc0RDjPdr2,https://api.spotify.com/v1/tracks/2VjOTvl50tscmc0RDjPdr2,https://api.spotify.com/v1/audio-analysis/2VjOTvl50tscmc0RDjPdr2,198027,4
19,0.814,0.606,1,-6.378,1,0.243,0.0166,0.0,0.125,0.208,150.005,audio_features,1h6w4POXM2LfG4ZD4xUfZQ,spotify:track:1h6w4POXM2LfG4ZD4xUfZQ,https://api.spotify.com/v1/tracks/1h6w4POXM2LfG4ZD4xUfZQ,https://api.spotify.com/v1/audio-analysis/1h6w4POXM2LfG4ZD4xUfZQ,204800,4
20,0.851,0.65,11,-6.3,1,0.224,0.165,0.0247,0.133,0.52,145.035,audio_features,78MA8xdZCe4KS9SuIxs1Ce,spotify:track:78MA8xdZCe4KS9SuIxs1Ce,https://api.spotify.com/v1/tracks/78MA8xdZCe4KS9SuIxs1Ce,https://api.spotify.com/v1/audio-analysis/78MA8xdZCe4KS9SuIxs1Ce,181910,4
21,0.849,0.614,1,-7.323,1,0.317,0.0282,0.0,0.0603,0.472,111.363,audio_features,6c6WmIHcHlhccEwSFBhzNa,spotify:track:6c6WmIHcHlhccEwSFBhzNa,https://api.spotify.com/v1/tracks/6c6WmIHcHlhccEwSFBhzNa,https://api.spotify.com/v1/audio-analysis/6c6WmIHcHlhccEwSFBhzNa,185748,5
22,0.883,0.726,0,-6.239,1,0.301,0.11,0.0,0.107,0.575,102.042,audio_features,2SOoJnfRWOEeme123rd0B3,spotify:track:2SOoJnfRWOEeme123rd0B3,https://api.spotify.com/v1/tracks/2SOoJnfRWOEeme123rd0B3,https://api.spotify.com/v1/audio-analysis/2SOoJnfRWOEeme123rd0B3,117806,4
23,0.812,0.63,2,-8.207,1,0.266,0.0224,0.0,0.0699,0.332,132.957,audio_features,3xOEfEmsrLwf9jcG4gErdA,spotify:track:3xOEfEmsrLwf9jcG4gErdA,https://api.spotify.com/v1/tracks/3xOEfEmsrLwf9jcG4gErdA,https://api.spotify.com/v1/audio-analysis/3xOEfEmsrLwf9jcG4gErdA,218173,4
24,0.636,0.723,5,-4.865,0,0.246,0.0445,0.0,0.107,0.421,162.026,audio_features,3VLsdzHOFM9pyn79QTjiGJ,spotify:track:3VLsdzHOFM9pyn79QTjiGJ,https://api.spotify.com/v1/tracks/3VLsdzHOFM9pyn79QTjiGJ,https://api.spotify.com/v1/audio-analysis/3VLsdzHOFM9pyn79QTjiGJ,186453,4
25,0.801,0.706,1,-6.079,1,0.255,0.000212,0.0,0.15,0.331,138.008,audio_features,3iRCr53b2ZOvoKMTNvBn5d,spotify:track:3iRCr53b2ZOvoKMTNvBn5d,https://api.spotify.com/v1/tracks/3iRCr53b2ZOvoKMTNvBn5d,https://api.spotify.com/v1/audio-analysis/3iRCr53b2ZOvoKMTNvBn5d,173948,4
26,0.784,0.616,0,-7.159,1,0.0927,0.0042,0.00592,0.256,0.291,137.019,audio_features,2beD5W9IkefQ04IO39XF7w,spotify:track:2beD5W9IkefQ04IO39XF7w,https://api.spotify.com/v1/tracks/2beD5W9IkefQ04IO39XF7w,https://api.spotify.com/v1/audio-analysis/2beD5W9IkefQ04IO39XF7w,190133,4
27,0.835,0.552,11,-8.039,1,0.191,0.00594,1.24e-05,0.139,0.18,105.007,audio_features,2f9JzwRy6Ofr5ixvN0ojKt,spotify:track:2f9JzwRy6Ofr5ixvN0ojKt,https://api.spotify.com/v1/tracks/2f9JzwRy6Ofr5ixvN0ojKt,https://api.spotify.com/v1/audio-analysis/2f9JzwRy6Ofr5ixvN0ojKt,146286,4
28,0.786,0.706,1,-4.644,1,0.096,0.0168,0.0,0.174,0.152,154.941,audio_features,3kH94a1MQM7YrpsZRWuXrh,spotify:track:3kH94a1MQM7YrpsZRWuXrh,https://api.spotify.com/v1/tracks/3kH94a1MQM7YrpsZRWuXrh,https://api.spotify.com/v1/audio-analysis/3kH94a1MQM7YrpsZRWuXrh,142452,4
29,0.916,0.583,1,-8.067,1,0.241,0.186,0.0,0.0798,0.661,141.095,audio_features,2FDTHlrBguDzQkp7PVj16Q,spotify:track:2FDTHlrBguDzQkp7PVj16Q,https://api.spotify.com/v1/tracks/2FDTHlrBguDzQkp7PVj16Q,https://api.spotify.com/v1/audio-analysis/2FDTHlrBguDzQkp7PVj16Q,226383,4
30,0.921,0.718,9,-4.486,0,0.106,0.116,0.0,0.226,0.785,114.02,audio_features,4pgeI9ohPGzSDeKE1D4dYf,spotify:track:4pgeI9ohPGzSDeKE1D4dYf,https://api.spotify.com/v1/tracks/4pgeI9ohPGzSDeKE1D4dYf,https://api.spotify.com/v1/audio-analysis/4pgeI9ohPGzSDeKE1D4dYf,172792,4
31,0.634,0.538,0,-9.213,1,0.0603,0.0514,0.0,0.099,0.152,168.029,audio_features,7l6nGz4gp6HGs5Cvmdeqe4,spotify:track:7l6nGz4gp6HGs5Cvmdeqe4,https://api.spotify.com/v1/tracks/7l6nGz4gp6HGs5Cvmdeqe4,https://api.spotify.com/v1/audio-analysis/7l6nGz4gp6HGs5Cvmdeqe4,160714,5
