,genre_id,genre,playlist_id,playlist_name,playlist_description
0,0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,"Music from Metro Boomin, Moneybagg Yo, YG and Tyga"
1,0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX6GwdWRQMQpq,Feelin' Myself,The hip-hop playlist that's a whole mood. Art By Laci Jordan; Cover: City Girls
2,0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX2RxBh64BHjQ,Most Necessary,"The official voice of the next generation. Cover: <a href=""spotify:artist:1YRqgFNXqRyMDRr8ClS1NL"">Kali</a>"
3,0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWTl4y3vgJOXW,Locked In,"Fourth quarter, two minutes left .. get locked in"
4,0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX5qmTk3PVatJ,Greatest Hip-Hop Beats of All Time,Celebrating hip-hop's 50th anniversary with the 50 greatest beats.
5,0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWY4xHQp97fN6,Get Turnt,Mood: Turnt
6,0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWVA1Gq4XHa6U,Gold School,Taking it way back! Cover: Lil Wayne
7,0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX8uG7blV3kzV,Now Playing...,"The hottest in hip-hop, R&B and Afrobeats."
8,0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX0dzzKV3SZR0,Boo Thang <3,the songs behind all your crushes.
9,0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX4SrOBCjlfVi,New Joints,"All the New Joints featuring Joyner Lucas, City Girls, and more. Cover: Central Cee & Dave"
10,0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits ,Lil Durk & J. Cole are on top of the Hottest 50!
11,0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DX0kbJZpiYdZl,Hot Hits USA,The hottest tracks in the United States. Cover: Luke Combs
12,0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DWWvvyNmW9V9a,teen beats,we've made it through the winter! cover: Reneé Rapp
13,0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DX0b1hHYQtJjp,Just Good Music,Recent hits and new songs from your fave artists. Cover: Noah Kahan
14,0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DWUa8ZRTfalHk,Pop Rising,Who's now and next in pop. Cover: Niall Horan 
15,0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DWTwnEm1IYyoj,Soft Pop Hits,Warm familiar pop you know and love. Cover: Lady Gaga
16,0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DWSqBruwoIXkA,sad hour,Somehow heartbreak feels good in a place like this. Cover: Rowan Drake
17,0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DX1UnoGuyf388,Pop Frequency,"Pop music driving the current, every week.  Cover: Billy Porter"
18,0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DXca8AyWK6Y7g,young & free,livin' life in your 250 sq ft apt cover: Chappell Roan
19,0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DXa2PvUpywmrr,Party Hits,"A mix of the biggest pop, dance, and hip hop party songs. Cover: J Hus & Drake"
20,0JQ5DAqbMKFDXXwE9BDJAr,Rock,37i9dQZF1DXcF6B6QPhFDv,Rock This,YUNGBLUD along with today's Rock songs you need to hear.
21,0JQ5DAqbMKFDXXwE9BDJAr,Rock,37i9dQZF1DWVqJMsgEN0F4,ALT NOW,Milky Chance along with the best alternative songs of today.
22,0JQ5DAqbMKFDXXwE9BDJAr,Rock,37i9dQZF1DWZryfp6NSvtz,All New Rock,The best new rock tracks every week. Cover: Teenage Wrist
23,0JQ5DAqbMKFDXXwE9BDJAr,Rock,37i9dQZF1DX82GYcclJ3Ug,The New Alt,No rules or boundaries. Just the very best new alternative tracks. Cover: The Maine
24,0JQ5DAqbMKFDXXwE9BDJAr,Rock,37i9dQZF1DWT2jS7NwYPVI,New Noise,Your cheat sheet for everything on the rise in the rock/alt world. Cover: ALEXSUCKS
25,0JQ5DAqbMKFDXXwE9BDJAr,Rock,37i9dQZF1DWYmDNATMglFU,The Locker,it's a generation ⛓ ft. yungblud
26,0JQ5DAqbMKFDXXwE9BDJAr,Rock,37i9dQZF1DXciq74vrQmM8,misfits 2.0,welcome to our 𝖚𝖓𝖎𝖛𝖊𝖗𝖘𝖊 ft. jazmin bean
27,0JQ5DAqbMKFDXXwE9BDJAr,Rock,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,"The hardest songs, loud. Very loud. Cover: Corey Taylor"
28,0JQ5DAqbMKFDXXwE9BDJAr,Rock,37i9dQZF1DX14rbJEM3cke,Rock Frequency,"New Rock driving the current, every week. Cover: KennyHoopla"
29,0JQ5DAqbMKFDXXwE9BDJAr,Rock,37i9dQZF1DXatFAWyNT5ad,Pop Rock,Let's mix it. Cover: BOYS LIKE GIRLS
30,0JQ5DAqbMKFCWjUTdzaG0e,Indie,37i9dQZF1DXdwmD5Q7Gxah,Lorem,All the indescribable feelings that music gives you. cover: The Beaches
31,0JQ5DAqbMKFCWjUTdzaG0e,Indie,37i9dQZF1DWWBHeXOYZf74,POLLEN,Genre-less. Quality first always. Cover: Youth Lagoon
32,0JQ5DAqbMKFCWjUTdzaG0e,Indie,37i9dQZF1DX2Nc3B70tvx0,Front Page Indie,"Newsworthy indie of 2023. Albums from King Krule, Youth Lagoon, and Christine & The Queens plus much more. "
33,0JQ5DAqbMKFCWjUTdzaG0e,Indie,37i9dQZF1DXdbXrPNafg9d,All New Indie,The best new music every Friday. Cover: Christine & The Queens
34,0JQ5DAqbMKFCWjUTdzaG0e,Indie,37i9dQZF1DX4OzrY981I1W,my life is a movie,every main character needs their soundtrack 
35,0JQ5DAqbMKFCWjUTdzaG0e,Indie,37i9dQZF1DX26DKvjp0s9M,Essential Indie,"the best of the best from oldies to new classics. Cover: boygenius - Phoebe Bridgers, Lucy Dacus & Julien Baker. "
36,0JQ5DAqbMKFCWjUTdzaG0e,Indie,37i9dQZF1DX30HHrCAl4ZG,Today's Indie Rock,All new indie rock. Featuring new music from The Drums.
37,0JQ5DAqbMKFCWjUTdzaG0e,Indie,37i9dQZF1DX9B1hu73DioC,Indie Chillout,The best indie tracks for just hanging out.
38,0JQ5DAqbMKFCWjUTdzaG0e,Indie,37i9dQZF1DWT0upuUFtT7o,Fresh Finds Indie,The best new indie tracks from independent artists & labels. Updates every Wednesday. Cover: Waterbaby
39,0JQ5DAqbMKFCWjUTdzaG0e,Indie,37i9dQZF1DX91UQmVbQYyN,EQUAL Indie,Some of the most mesmerizing voices and masterful musicians of indie. Cover: Lana Del Rey
40,0JQ5DAqbMKFHOzuVTgTizF,Dance/Electronic,37i9dQZF1DX4dyzvuaRJ0n,mint,The world's biggest dance hits. Cover: FISHER & Aatig
41,0JQ5DAqbMKFHOzuVTgTizF,Dance/Electronic,37i9dQZF1DX8tZsk68tuDw,Dance Rising,"Tomorrow's <a href=""spotify:genre:edm_dance"">dance</a> hits, with Jayda G."
42,0JQ5DAqbMKFHOzuVTgTizF,Dance/Electronic,37i9dQZF1DXa8NOEUWPn9W,Housewerk,"House music lives here. United under one roof, featuring Jazzy."
43,0JQ5DAqbMKFHOzuVTgTizF,Dance/Electronic,37i9dQZF1DX6GJXiuZRisr,Night Rider,"Progressive <a href=""spotify:genre:edm_dance"">house</a> music for the late night highway."
44,0JQ5DAqbMKFHOzuVTgTizF,Dance/Electronic,37i9dQZF1DWVY4eLfA3XFQ,Operator,"Tech house technicians, featuring Odd Mob"
45,0JQ5DAqbMKFHOzuVTgTizF,Dance/Electronic,37i9dQZF1DWSlskcBvOTt0,Tantra,"Hypnotic melodic <a href=""spotify:genre:house"">house</a> and <a href=""spotify:genre:techno"">techno</a> to light up the night."
46,0JQ5DAqbMKFHOzuVTgTizF,Dance/Electronic,37i9dQZF1DX0hvSv9Rf41p,Bass Arcade,"All things <a href=""spotify:genre:bass"">bass</a> with RL Grime."
47,0JQ5DAqbMKFHOzuVTgTizF,Dance/Electronic,37i9dQZF1DX9gPDOAK0Yqv,Tunnel Vision,A hypnotic journey through Melodic Techno.
48,0JQ5DAqbMKFHOzuVTgTizF,Dance/Electronic,37i9dQZF1DX91oIci4su1D,Trance Mission,"Setting sights on banging <a href=""spotify:genre:0JQ5DAqbMKFFfBKlpu08ru"">trance and progressive</a>."
