,track_id,track_name,artist_name,artist_id,track_popularity,album_name,album_id,track_length,release_date,playlist_id,playlist_name,genre
0,39MK3d3fonIP8Mz9oHCTBB,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,88,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),1bwbZJ6khPJyVpOaqgKsoZ,3.86,2023-06-02,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,Hip-Hop
1,1k513qenEUjyU3MxMSUaPj,Ocean Spray,Moneybagg Yo,3tJoFztHeIJkJWMrx0td2f,76,Ocean Spray,1VbBXmKIEcjABfAOOAxdiE,2.75,2023-05-24,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,Hip-Hop
2,6HgWWaMu31KdOpEG5l28BG,All My Life (feat. J. Cole),Lil Durk,3hcs9uc56yIGFCSy9leWe7,91,All My Life (feat. J. Cole),0lZQagJ5r0crB35zphSD4A,3.73,2023-05-12,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,Hip-Hop
3,4EzkcqltSOxYE2lstuLOFs,Pull Up (feat. 21 Savage),Toosii,6BH1xcDkwbbyrLMUKECsW1,74,NAUJOUR,2pAylLmyj0wmHy5JjL0h6V,2.22,2023-06-02,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,Hip-Hop
4,6GoVUO5vla1JtUj2rq9Yl4,bread & butter,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,78,bread & butter,332Rucu5r475vGx2bntaPb,3.77,2023-06-02,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,Hip-Hop
5,7aRCf5cLOFN1U7kvtChY1G,Search & Rescue,Drake,3TVXtAsR1Inumwj472S9r4,91,Search & Rescue,67WUCOjyl44d8fAFzHONjW,4.54,2023-04-07,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,Hip-Hop
6,4muwDurKeVOB1WBjTVRWlD,War Bout It (feat. 21 Savage),Lil Durk,3hcs9uc56yIGFCSy9leWe7,84,Almost Healed,6ciIG1XKTlVIn0Yl8rvsce,2.67,2023-05-26,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,Hip-Hop
7,5rurggqwwudn9clMdcchxT,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,89,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),1bwbZJ6khPJyVpOaqgKsoZ,3.66,2023-06-02,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,Hip-Hop
8,1KUZ33cOqk3X4Ezk0aZnVp,Peaches & Eggplants (feat. 21 Savage),Young Nudy,5yPzzu25VzEk8qrGTLIrE1,76,Peaches & Eggplants (feat. 21 Savage),6Hj61lLEt0UxscLniz6h74,3.4,2023-02-27,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,Hip-Hop
9,1IzJxbARcQrOWMZgPw1PNj,Go Hard,Lil Baby,5f7VJjfbwm532GiveGC0ZK,83,Go Hard,0lvoLgzBquqlIQyVnXD2Jo,3.63,2023-05-03,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,Hip-Hop
10,52NGJPcLUzQq5w7uv4e5gf,Private Landing (feat. Justin Bieber & Future),Don Toliver,4Gso3d4CscCijv0lmajZWs,84,Love Sick,26z5llzd194mcCZHADWd6k,3.97,2023-02-24,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,Hip-Hop
11,5wG3HvLhF6Y5KTGlK0IW3J,Trance (with Travis Scott & Young Thug),Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,91,HEROES & VILLAINS,7txGsnDSqVMoRl6RQ9XyZP,3.25,2022-12-02,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,Hip-Hop
12,75ZoVrZ4mXEsDxv1bQbEAS,Motion God,Moneybagg Yo,3tJoFztHeIJkJWMrx0td2f,75,Motion God,1TwrnBDlShNlNIn20c5h31,2.39,2023-04-21,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,Hip-Hop
13,4mWbFYZ9P14Ulf1LIFZGhH,06 Gucci (feat. DaBaby & 21 Savage),Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,77,06 Gucci (feat. DaBaby & 21 Savage),6K67robZZpglKEFuNQWtsr,2.98,2023-03-31,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,Hip-Hop
14,2YIIpDEKJv6OUc7u9tVT7I,Cut U Off,Joyner Lucas,6C1ohJrd5VydigQtaGy5Wa,64,Cut U Off,7HKtVhwqCYZFUk7DUXWjw4,3.39,2023-06-09,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,Hip-Hop
15,4fbXBeVeqzZ0SmJQcWm4St,Never Imagined (feat. Future),Lil Durk,3hcs9uc56yIGFCSy9leWe7,81,Almost Healed,6ciIG1XKTlVIn0Yl8rvsce,3.2,2023-05-26,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,Hip-Hop
16,0FA4wrjDJvJTTU8AepZTup,Watch This - ARIZONATEARS Pluggnb Remix,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,89,Watch This (ARIZONATEARS Pluggnb Remix),3VvPLpCZR5viLBFTbzm6E1,2.72,2023-02-05,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,Hip-Hop
17,2ZL7WZcjuYKi1KUDtp4kCC,Spin Bout U,Drake,3TVXtAsR1Inumwj472S9r4,85,Her Loss,5MS3MvWHJ3lOZPLiMxzOU6,3.58,2022-11-04,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,Hip-Hop
18,2VjOTvl50tscmc0RDjPdr2,UK Rap,Dave,6Ip8FS7vWT1uKkJSweANQK,79,Split Decision,0On7uutIu9rZRvP9aJbMog,3.3,2023-06-04,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,Hip-Hop
19,1h6w4POXM2LfG4ZD4xUfZQ,The Hillbillies,Baby Keem,5SXuuuRpukkTvsLuUknva1,79,The Hillbillies,6ltyScGRzS0Z2TI1VD5dns,3.41,2023-06-05,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,Hip-Hop
20,78MA8xdZCe4KS9SuIxs1Ce,Drums,Money Man,3Rx4PJ7SP6unkOk5elPUK7,58,Red Eye,2rGZ4DEQqxseAXO9hVqNDo,3.03,2023-03-17,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,Hip-Hop
21,6c6WmIHcHlhccEwSFBhzNa,Put It On Da Floor Again (feat. Cardi B),Latto,3MdXrJWsbVzdn6fe5JYkSQ,74,Put It On Da Floor Again (feat. Cardi B),4A43tzEN3jILvseI1HeXGG,3.1,2023-06-02,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,Hip-Hop
